bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif,cohort,freq,n_units
-44,-176,0.042333667910259554,0.04093376646846071,2,-0.037896514367923434,0.12256385018844254,-0.06433788636813628,0.1490052221886554,C5,week,5
-43,-172,0.0024429481792701256,0.0451916339128001,3,-0.08613265428981808,0.09101855064835833,-0.11532441714668758,0.12021031350522783,C5,week,5
-42,-168,-0.019440168549197313,0.049454678261494904,4,-0.11637133794172733,0.07749100084333269,-0.1483168357026178,0.10943649860422319,C5,week,5
-41,-164,-0.01571296929637797,0.043953163910996955,4,-0.101861170561932,0.07043523196917606,-0.13025293750212932,0.09882699890937338,C5,week,5
-40,-160,-0.01483582987620784,0.04095389527060707,4,-0.09510546460659769,0.06543380485418201,-0.12155983890763425,0.09188817915521857,C5,week,5
-39,-156,0.007964961052281037,0.030885738410538262,4,-0.052571086232373956,0.06850100833693604,-0.07252188405215286,0.08845180615671493,C5,week,5
-38,-152,0.020969186881625163,0.02575558733696754,4,-0.02951176429883122,0.07145013806208154,-0.04614871527145788,0.0880870890347082,C5,week,5
-37,-148,-0.0036093456869938463,0.02574866010391702,4,-0.0540767194906712,0.04685802811668351,-0.07070919578232361,0.06349050440833591,C5,week,5
-36,-144,0.01138448754667612,0.02650433631259646,4,-0.04056401162601294,0.06333298671936519,-0.057684620759308414,0.08045359585266065,C5,week,5
-35,-140,-0.02822255786434159,0.024107682783623165,1,-0.07547361612024299,0.019028500391559813,-0.09104609487164379,0.034600979142960606,C5,week,5
-34,-136,0.01027685438137999,0.020481790009221436,4,-0.029867454036694024,0.05042116279945401,-0.043097769142960665,0.06365147790572065,C5,week,5
-33,-132,0.007215333194870502,0.022742468833973066,4,-0.03735990571971671,0.05179057210945771,-0.05205051766488574,0.06648118405462675,C5,week,5
-32,-128,0.007094927123210295,0.022204181557027153,4,-0.03642526872856292,0.050615122974983516,-0.050768171304166006,0.06495802555058659,C5,week,5
-31,-124,0.05859250698516194,0.022774270093176764,4,0.01395493760253548,0.1032300763677884,-0.0007562165257069819,0.11794123049603086,C5,week,5
-30,-120,0.0047927053042840645,0.022689068157616798,2,-0.03967786828464486,0.04926327889321299,-0.05433398579476876,0.06391939640333688,C5,week,5
-29,-116,-0.0036080595929178956,0.02166948942779298,4,-0.04608025887139214,0.038864139685556354,-0.06007777438114678,0.052861655195311,C5,week,5
-28,-112,0.010037223550218119,0.02245252870933163,4,-0.03396973272007188,0.05404417982050812,-0.04847305638578734,0.06854750348622357,C5,week,5
-27,-108,0.01934941378982421,0.02339642568509497,4,-0.02650758055296193,0.06520640813261035,-0.041620619209973495,0.08031944678962191,C5,week,5
-26,-104,0.02762453283194121,0.016436255868216895,4,-0.0045905286697639006,0.05983959433364632,-0.015207610682899914,0.07045667634678233,C5,week,5
-25,-100,0.021789070001494326,0.01038069785260711,4,0.0014429022103843933,0.04213523779260426,-0.0052625616944356225,0.04884070169742427,C5,week,5
-24,-96,0.011735624376825581,0.01066393927089276,4,-0.00916569659412423,0.03263694534777539,-0.01605412171538958,0.03952537046904074,C5,week,5
-23,-92,-0.020571536516869875,0.010583885718936637,4,-0.04131595252598568,0.0001728794922459323,-0.0481526666533741,0.007009593619634356,C5,week,5
-22,-88,-0.02234706944732289,0.007522805402577088,3,-0.037091768036373984,-0.0076023708582718,-0.04195116196212019,-0.0027429769325255926,C5,week,5
-21,-84,0.007476877344855953,0.009397471686328235,2,-0.010942167160347387,0.025895921850059293,-0.017012511185765293,0.0319662658754772,C5,week,5
